Experimento,Metodo,Qtd_requisitos,Tempo_segundos
Experimento1,MIP,10,0.05024313926696777
Experimento1,MIP,30,0.010325908660888672
Experimento1,MIP,50,0.019850730895996094
Experimento1,MIP,70,0.024881839752197266
Experimento1,MIP,100,0.07148599624633789
Experimento1,MIP,200,10.858049154281616
Experimento1,MIP,300,16.880297899246216
Experimento1,MIP,400,84.9016945362091
Experimento2,CPSAT,10,0.014186859130859375
Experimento2,CPSAT,30,0.029970884323120117
Experimento2,CPSAT,50,0.07713556289672852
Experimento2,CPSAT,70,0.10947108268737793
Experimento2,CPSAT,100,0.1767263412475586
Experimento2,CPSAT,200,3.469149589538574
Experimento2,CPSAT,300,19.055683612823486
Experimento2,CPSAT,400,3.8516416549682617